objectid,id,kind,location,creator,title,date,publisher,volume,record company,medium,description,ISBN-10,ISBN-13,OCLC,language,resources,related materials,media,format,filename,source,youtubeid
163,,book,,,,,,,,," African American Art History
Women artists",,,,,,,,image/jpeg,,,
164,159,book,A3," Klüver, Billy and Julie Martin",Kiki's Paris: Artists and Lovers 1900-1930,1994,New York: Abrams,,,,Modern art,ISBN-10: 0810925915,ISBN-13: 9780810925915,,,,,,image/jpeg,,,
165,160,book,A3," Faustine, Nona",Nona Faustine: White Shoes,2021,New York: MACK Books,,,,Artist book Photography Signed by the artist,ISBN-10: 1913620514,ISBN-13: 9781913620516,,,,,,image/jpeg,,,
166,161,book,A3," Godfrey, Mark and Zoé Whitley, eds.",Soul of a Nation: Art in the Afe of Black Power,2017,London: Tate Publishing,,,," Exhibition catalogue
African American Art History",ISBN-10: 1942884176,ISBN-13: 9781942884170,,," https://www.tate.org.uk/whats-on/tate- modern/soul-nation-art-age-black-power https://www.brooklynmuseum.
org/exhibitions/soul_of_a_nation",,,image/jpeg,,,
167,162,book,A3," Summers, Barbara",Black and Beautiful: How Women of Color Changed the Fashion Industry,2001,New York: Amistad Press,,,,African American History Fashion,ISBN-10: 006095812X,ISBN-13: 9780060958121,,,,,,image/jpeg,,,
168,163,book,A3," Odutola, Toyin, Leigh Raiford, and
Emily Kuhlman",Toyin Ojih Odutola: A Matter of Fact,2018," San Francisco: Museum of the African
Diaspora",,,," Artist monograph
Exhibition catalogue",ISBN-10: 1944903682,ISBN-13: 9781944903688,,,,,,image/jpeg,,,
169,164,book,A3," Stone, Joel, ed.","Detroit 1967: Origins, Impacts, Legacies",2017,Detroit: Wayne State University Press,,,,African American History Urban Studies,ISBN-10: 0814343031,ISBN-13: 9780814343036,,,,,,image/jpeg,,,
170,165,book,A3," Visonà, Monica Blackmun, Robin Poynor, Herbert M. Cole, and Michael D. Harris",A History of Art in Africa,2001," New York: Harry N. Abrams; Upper Saddle River: Prentice Hall, Inc.",,,,African art Textbook,ISBN-10: 0134421876,ISBN-13: 9780134421872,,,,,,image/jpeg,,,
171,166,book,A3," Clark, Robin and Cliff Lauson",Larry Bell,2018,New York: Rizzoli Electa,,,,Artist monograph,ISBN-10: 0847863409,ISBN-13: 9780847863402,,,,,,image/jpeg,,,
172,167,book,B1," Murrell, Denise",Posing Modernity: The Black Model from Manet and Matisse to Today,2018," New Haven: Yale University Press; New York: The Miriam and Ira D. Wallach Art Gallery, Columbia University in the City of New York",,,," Exhibition catalogue Art History
Modern art",ISBN-10: 0300229062,ISBN-13: 9780300229066,,,"https://wallach.columbia. edu/exhibitions/posing-modernity-black- model-manet-and-matisse-today-le- mod%C3%A8le-noir-de-g%C3%A9ricault-
%C3%A0
https://www.musee-orsay. fr/fr/expositions/le-modele-noir-de- gericault-matisse-196083",,,image/jpeg,,,
